HL;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000 AA;970 ;400;16,5 ;21,0 ;30;868  ;156,6  ;328,8  ;258,1  ; 504.360    ; 10.399    ;5939    ;39,2  ; 22.454    ; 1.123    ; 877    ;8,26 ; 483    ; 50.433.656    ; 949    ;9,73 ; 7.892    ; 2.170    ; 285.055    ; 2.328    ; 42.113    ; 3.750    ; 110.458    ; 1.913.184    ;
1000 A;990 ;400;16,5 ;31,0 ;30;868  ;158,2  ;408,8  ;320,9  ; 696.446    ; 14.070    ;7899    ;41,3  ; 33.121    ; 1.656    ; 1.277    ;9,00 ; 1.021    ; 76.026.963    ; 959    ;10,2  ; 9.812    ; 2.193    ; 379.135    ; 3.436    ; 61.313    ; 6.045    ; 164.775    ; 2.853.984    ;
1000 B;1000 ;400;19,0 ;36,0 ;30;868  ;183,2  ;472,0  ;370,6  ; 812.099    ; 16.242    ;9163    ;41,5  ; 38.476    ; 1.924    ; 1.488    ;9,03 ; 1.565    ; 89.212.416    ; 964    ;10,2  ; 11.329    ; 2.538    ; 439.812    ; 3.991    ; 71.430    ; 8.075    ; 192.349    ; 3.331.584    ;
1000 M;1008 ;402;21,0 ;40,0 ;30;868  ;203,3  ;524,2  ;411,5  ; 909.811    ; 18.052    ; 10.220    ;41,7  ; 43.407    ; 2.160    ; 1.674    ;9,10 ; 2.128    ; 101.455.974    ; 973    ;10,3  ; 12.581    ; 2.817    ; 490.559    ; 4.456    ; 80.344    ; 9.945    ; 215.681    ; 3.754.384    ;
1000 X 477;1018 ;404;25,5 ;45,0 ;30;868  ;248,1  ;608,0  ;477,3  ; 1.047.174    ; 20.573    ; 11.766    ;41,5  ; 49.614    ; 2.456    ; 1.919    ;9,03 ; 3.159    ; 117.049.900    ; 983    ;10,3  ; 14.591    ; 3.438    ; 564.779    ; 5.038    ; 92.118    ; 13.050    ; 245.108    ; 4.287.848    ;
1000 X 554;1032 ;408;29,5 ;52,0 ;30;868  ;289,1  ;705,8  ;554,1  ; 1.232.372    ; 23.883    ; 13.748    ;41,8  ; 59.098    ; 2.897    ; 2.273    ;9,15 ; 4.860    ; 141.326.871    ; 1.000    ;10,4  ; 16.939    ; 4.006    ; 659.909    ; 5.880    ; 109.117    ; 17.451    ; 288.098    ; 5.089.803    ;
1000 X 642;1048 ;412;34,0 ;60,0 ;30;868  ;335,9  ;817,6  ;641,9  ; 1.450.589    ; 27.683    ; 16.048    ;42,1  ; 70.284    ; 3.412    ; 2.689    ;9,27 ; 7.440    ; 170.665.425    ; 1.018    ;10,6  ; 19.623    ; 4.655    ; 770.321    ; 6.851    ; 129.092    ; 23.213    ; 338.420    ; 6.037.455    ;
1000 X 748;1068 ;417;39,0 ;70,0 ;30;868  ;389,2  ;953,4  ;748,5  ; 1.731.943    ; 32.433    ; 18.941    ;42,6  ; 85.111    ; 4.082    ; 3.230    ;9,45 ; 11.666    ; 210.647.372    ; 1.040    ;10,7  ; 22.883    ; 5.393    ; 909.155    ; 8.089    ; 155.022    ; 31.304    ; 403.660    ; 7.288.731    ;
1100 A;1090 ;400;18,0 ;31,0 ;20;988  ;190,6  ;436,5  ;342,6  ; 867.388    ; 15.915    ; 9.031    ;44,6  ; 33.123    ; 1.656    ; 1.284    ;8,71 ; 1.037    ; 92.709.096    ; 1.059    ;10,1  ; 10.475    ; 2.641    ; 433.490    ; 3.436    ; 61.629    ; 6.447    ; 181.957    ; 3.151.584    ;
1100 B;1100 ;400;20,0 ;36,0 ;20;988  ;212,8  ;497,0  ;390,2  ; 1.005.397    ; 18.280    ; 10.390    ;45,0  ; 38.476    ; 1.924    ; 1.494    ;8,80 ; 1.564    ; 108.681.216    ; 1.064    ;10,1  ; 11.929    ; 2.949    ; 498.731    ; 3.991    ; 71.706    ; 8.424    ; 212.302    ; 3.677.184    ;
1100 M;1108 ;402;22,0 ;40,0 ;20;988  ;235,0  ;551,2  ;432,7  ; 1.125.574    ; 20.317    ; 11.580    ;45,2  ; 43.410    ; 2.160    ; 1.681    ;8,87 ; 2.130    ; 123.500.699    ; 1.073    ;10,2  ; 13.229    ; 3.256    ; 555.857    ; 4.456    ; 80.683    ; 10.341    ; 237.962    ; 4.142.234    ;
1100 R;1118 ;405;26,0 ;45,0 ;20;988  ;279,0  ;635,2  ;498,6  ; 1.294.060    ; 23.150    ; 13.300    ;45,1  ; 49.984    ; 2.468    ; 1.935    ;8,87 ; 3.135    ; 143.405.493    ; 1.086    ;10,3  ; 15.245    ; 3.866    ; 638.387    ; 5.051    ; 92.887    ; 13.475    ; 270.968    ; 4.751.968    ;
