U;h;b;ts;tg;r1;r2;ASteg;A;G;ey;yM;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;;;;;;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm;cm;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30 x 15;30;15;4,0;4,5;4,5;2,00;1 ;2,21 ;1,74 ;0,52 ;0,74 ;2,53 ;1,69 ;;1,07 ;0,38 ;0,39 ;;0,42 ;;;;;;;;;;;;;;;;;
30;30;33;5,0;7,0;7,0;3,50;1 ;5,44 ;4,27 ;1,31 ;2,22 ;6,39 ;4,26 ;;1,08 ;5,33 ;2,68 ;;0,99 ;;;;;;;;;;;;;;;;;
40 x 20;40;20;5,0;5,5;5,0;1,50;2 ;3,66 ;2,87 ;0,67 ;1,01 ;7,58 ;3,79 ;;1,44 ;1,14 ;0,86 ;;0,56 ;;;;;;;;;;;;;;;;;
40;40;35;5,0;7,0;7,0;3,50;2 ;6,21 ;4,87 ;1,33 ;2,32 ;14,1 ;7,05 ;;1,50 ;6,68 ;3,08 ;;1,05 ;;;;;;;;;;;;;;;;;
50 x 25;50;25;5,0;6,0;6,0;3,00;2 ;4,92 ;3,86 ;0,81 ;1,34 ;16,8 ;6,73 ;;1,85 ;2,49 ;1,48 ;;0,71 ;;;;;;;;;;;;;;;;;
50;50;38;5,0;7,0;7,0;3,50;2 ;7,12 ;5,59 ;1,37 ;2,47 ;26,4 ;10,6  ;;1,92 ;9,12 ;3,75 ;;1,13 ;;;;;;;;;;;;;;;;;
60;60;30;6,0;6,0;6,0;3,00;3 ;6,46 ;5,07 ;0,91 ;1,50 ;31,6 ;10,5  ;;2,21 ;4,51 ;2,16 ;;0,84 ;;;;;;;;;;;;;;;;;
65;65;42;5,5;7,5;7,5;4,00;3 ;9,03 ;7,09 ;1,42 ;2,60 ;57,5 ;17,7  ;;2,52 ;14,1  ;5,07 ;;1,25 ;;;;;;;;;;;;;;;;;
80;80;45;6,0;8,0;8,0;4,00;4 ;11,00 ;8,64 ;1,45 ;2,67 ;106  ;26,5  ;15,9 ;3,10 ;19,4  ;6,36 ;;1,33 ;;;;;;;;;;;;;;;;;
100;100;50;6,0;8,5;8,5;4,50;5 ;13,50 ;10,60 ;1,55 ;2,93 ;206  ;41,2  ;24,5 ;3,91 ;29,3  ;8,49 ;;1,47 ;;;;;;;;;;;;;;;;;
120;120;55;7,0;9,0;9,0;4,50;8 ;17,00 ;13,40 ;1,60 ;3,03 ;364  ;60,7  ;36,3 ;4,62 ;43,2  ;11,1  ;;1,59 ;;;;;;;;;;;;;;;;;
140;140;60;7,0;10,0;10,0;5,00;9 ;20,40 ;16,00 ;1,75 ;3,37 ;605  ;86,4  ;51,4 ;5,45 ;62,7  ;14,8  ;;1,75 ;;;;;;;;;;;;;;;;;
160;160;65;7,5;10,5;10,5;5,50;11 ;24,00 ;18,80 ;1,84 ;3,56 ;925  ;116    ;68,8 ;6,21 ;85,3  ;18,3  ;;1,89 ;;;;;;;;;;;;;;;;;
180;180;70;8,0;11,0;11,0;5,50;14 ;28,00 ;22,00 ;1,92 ;3,75 ;1350  ;150    ;89,6 ;6,95 ;114    ;22,4  ;;2,02 ;;;;;;;;;;;
200;200;75;8,5;11,5;11,5;6,00;16 ;32,20 ;25,30 ;2,01 ;3,94 ;1910  ;191    ;114  ;7,70 ;148    ;27,0  ;;2,14 ;;;;;;;;;;;
220;220;80;9,0;12,5;12,5;6,50;19 ;37,40 ;29,40 ;2,14 ;4,20 ;2690  ;245    ;146  ;8,48 ;197    ;33,6  ;;2,30 ;;;;;;;;;;;
240;240;85;9,5;13,0;13,0;6,50;22 ;42,30 ;33,20 ;2,23 ;4,39 ;3600  ;300    ;179  ;9,22 ;248    ;39,6  ;;2,42 ;;;;;;;;;;;
260;260;90;10,0;14,0;14,0;7,00;25 ;48,30 ;37,90 ;2,36 ;4,66 ;4820  ;371    ;221  ;9,99 ;317    ;47,7  ;;2,56 ;;;;;;;;;;;
280;280;95;10,0;15,0;15,0;7,50;27 ;53,30 ;41,80 ;2,53 ;5,02 ;6280  ;448    ;266  ;10,90 ;399    ;57,2  ;;2,74 ;;;;;;;;;;;
300;300;100;10,0;16,0;16,0;8,00;28 ;58,80 ;46,20 ;2,70 ;5,41 ;8030  ;535    ;316  ;11,70 ;495    ;67,8  ;;2,90 ;;;;;;;;;;;
320;320;100;14,0;17,5;17,5;8,75;42 ;75,80 ;59,50 ;2,60 ;4,82 ;10870  ;679    ;413  ;12,10 ;597    ;80,6  ;;2,81 ;;;;;;;;;;;
350;350;100;14,0;16,0;16,0;8,00;47 ;77,30 ;60,60 ;2,40 ;4,45 ;12840  ;734    ;459  ;12,90 ;570    ;75,0  ;;2,72 ;;;;;;;;;;;
380;380;102;13,5;16,0;16,0;8,00;49 ;80,40 ;63,10 ;2,38 ;4,58 ;15760  ;829    ;507  ;14,00 ;615    ;78,7  ;;2,77 ;;;;;;;;;;;
400;400;110;14,0;18,0;18,0;9,00;54 ;91,50 ;71,80 ;2,65 ;5,11 ;20350  ;1020    ;618  ;14,90 ;846    ;102    ;;3,04 ;;;;;;;;;;;
